index,MovieID,Title,MPAA_Rating,Budget,Gross,Release_Date,Genre,Runtime,Rating,Rating_Count
507,508,Captain America: The Winter Soldier,PG-13,170000000,714766572,2014-03-20,Action,136,7.7,685903
508,509,Dawn of the Planet of the Apes,PG-13,170000000,710644566,2014-06-26,Science Fiction,130,7.6,395425
509,510,Guardians of the Galaxy,PG-13,170000000,773328629,2014-07-30,Action,121,8,978222
510,511,Maleficent,PG,180000000,758539785,2014-05-28,Fantasy,97,7,363144
511,512,The Amazing Spider-Man 2,PG-13,200000000,705717432,2014-04-16,Action,142,6.6,465607
512,513,Transformers: Age of Extinction,PG-13,210000000,1091405097,2014-06-25,Action,165,5.6,307357
513,514,X-Men: Days of Future Past,PG-13,250000000,747862775,2014-05-15,Action,131,7.9,687838
514,515,The Hobbit: The Battle of the Five Armies,PG-13,250000000,956019788,2014-12-10,Fantasy,144,7.4,503831
515,516,Straight Outta Compton,R,28000000,201634991,2015-08-13,Drama,147,7.8,192344
516,517,Pitch Perfect 2,PG-13,29000000,287506194,2015-05-07,Comedy,115,6.4,151367
517,518,Fifty Shades of Grey,R,40000000,571006128,2015-02-11,Drama,125,4.1,310014
518,519,The SpongeBob Movie: Sponge Out of Water,PG,74000000,311594032,2015-02-05,Animation,93,6,16287
520,521,Hotel Transylvania 2,PG,80000000,473226958,2015-09-21,Animation,89,6.7,118732
521,522,Cinderella,PG,95000000,543514353,2015-03-12,Drama,105,6.9,171487
522,523,The Martian,PG-13,108000000,630161890,2015-09-30,Science Fiction,141,8,811476
523,524,San Andreas,PG-13,110000000,470490832,2015-05-27,Thriller,114,6.1,228195
524,525,Ant-Man,PG-13,130000000,519311965,2015-07-14,Action,117,7.3,625720
525,526,Home,PG,135000000,368871007,2015-03-18,Animation,94,6.6,98994
526,527,The Revenant,R,135000000,532950503,2015-12-25,Western,156,8,761342
527,528,Jurassic World,PG-13,150000000,1513528810,2015-06-09,Thriller,124,7,610511
528,529,Mission: Impossible - Rogue Nation,PG-13,150000000,682330139,2015-07-23,Action,131,7.4,359634
529,530,The Hunger Games: Mockingjay - Part 2,PG-13,160000000,653428261,2015-11-18,Adventure,137,6.6,310325
530,531,Inside Out,PG,175000000,857611174,2015-06-09,Animation,94,8.1,670364
531,532,Furious 7,PG-13,190000000,1506249360,2015-04-01,Action,137,7.1,379282
532,533,Spectre,PG-13,245000000,880674609,2015-10-26,Crime,148,6.8,424590
533,534,Star Wars: The Force Awakens,PG-13,245000000,2068223624,2015-12-15,Science Fiction,136,7.8,897124
534,535,Avengers: Age of Ultron,PG-13,280000000,1405403694,2015-04-22,Action,141,7.3,813026
535,536,Hidden Figures,PG,25000000,230698791,2016-12-10,Drama,127,7.9,217124
536,537,La La Land,PG-13,30000000,445435700,2016-11-29,Drama,128,8,552041
537,538,Deadpool,R,58000000,783112979,2016-02-09,Comedy,108,8,973088
538,539,The Secret Life of Pets,PG,75000000,875457937,2016-06-18,Animation,87,6.5,194828
539,540,Sing,PG,75000000,632443719,2016-11-23,Animation,108,7.1,152494
540,541,Jason Bourne,PG-13,120000000,415484914,2016-07-27,Action,123,6.6,220288
541,542,Trolls,PG,125000000,346864462,2016-10-13,Animation,92,6.4,78411
542,543,Ghostbusters,PG-13,144000000,229147509,2016-07-14,Thriller,116,6.9,221925
543,544,Zootopia,PG,150000000,1023784195,2016-02-11,Animation,108,8,470795
544,545,Moana,PG,150000000,643034466,2016-11-23,Animation,107,7.6,308365
545,546,Doctor Strange,PG-13,165000000,677718395,2016-10-25,Action,115,7.5,671663
546,547,The Jungle Book,PG,175000000,966550600,2016-04-07,Action,106,7.4,271559
547,548,Suicide Squad,PG-13,175000000,745600054,2016-08-02,Action,123,5.9,662200
548,549,X-Men: Apocalypse,PG-13,178000000,543934787,2016-05-18,Action,144,6.9,416611
549,550,Fantastic Beasts and Where to Find Them,PG-13,180000000,809342332,2016-11-16,Fantasy,133,7.3,440359
550,551,Star Trek Beyond,PG-13,185000000,343471816,2016-07-07,Science Fiction,122,7,239785
551,552,Finding Dory,PG,200000000,1028570889,2016-06-16,Animation,97,7.3,261158
552,553,Rogue One: A Star Wars Story,PG-13,200000000,1056057273,2016-12-14,Science Fiction,133,7.3,261151
553,554,Batman v Superman: Dawn of Justice,PG-13,250000000,873260194,2016-03-23,Action,151,6.5,674162
554,555,Captain America: Civil War,PG-13,250000000,1153304495,2016-04-27,Action,147,7.8,732774
555,556,Get Out,R,5000000,252434250,2017-02-24,Horror,104,7.7,545878
556,557,It,R,35000000,700400000,2017-09-05,Horror,135,7.3,505274
557,558,The LEGO Batman Movie,PG,80000000,312000000,2017-01-29,Animation,104,7.3,140915
558,559,Despicable Me 3,PG,80000000,1020063384,2017-06-15,Animation,96,6.3,125751
559,560,The Greatest Showman,PG,84000000,435000000,2017-12-08,Drama,105,7.6,264592
560,561,Logan,R,97000000,616801808,2017-02-28,Action,137,8.1,708000
561,562,Dunkirk,PG-13,100000000,519876949,2017-07-19,War,107,7.8,613862
562,563,The Boss Baby,PG,125000000,498814908,2017-03-23,Animation,97,6.3,120257
563,564,Wonder Woman,PG-13,149000000,820580447,2017-05-30,Action,141,7.4,624133
564,565,Jumanji: Welcome to the Jungle,PG-13,150000000,962200000,2017-12-05,Thriller,119,6.9,355679
565,566,Beauty and the Beast,PG,160000000,1262886337,2017-03-16,Drama,129,7.1,295283
566,567,Spider-Man: Homecoming,PG-13,175000000,880200000,2017-06-28,Action,133,7.4,600396
567,568,Coco,PG,175000000,807100000,2017-10-20,Animation,105,8.4,454758
568,569,Thor: Ragnarok,PG-13,180000000,854000000,2017-10-25,Action,130,7.9,673341
569,570,Kong: Skull Island,PG-13,185000000,566652812,2017-03-08,Adventure,118,6.6,304773
570,571,Guardians of the Galaxy Vol. 2,PG-13,200000000,863416141,2017-04-19,Action,137,7.6,631237
571,572,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,230000000,794191988,2017-05-23,Action,129,6.5,288124
572,573,The Fate of the Furious,PG-13,250000000,1238764765,2017-04-12,Action,136,6.6,223080
573,574,Justice League,PG-13,300000000,657900000,2017-11-15,Action,120,6.1,432797
574,575,Star Wars: The Last Jedi,PG-13,317000000,1333000000,2019-12-09,Science Fiction,152,6.9,600406
575,576,A Quiet Place,PG-13,17000000,340900000,2018-03-09,Horror,91,7.5,494771
576,577,Crazy Rich Asians,PG-13,30000000,238500000,2018-08-07,Romance,121,6.9,161675
577,578,A Star is Born,R,36000000,435000000,2018-08-31,Romance,135,7.6,365142
578,579,Bohemian Rhapsody,PG-13,55000000,903700000,2018-10-23,Drama,134,7.9,503268
579,580,Dr. Seuss' The Grinch,PG,75000000,511600000,2018-10-22,Animation,86,6.4,66620
580,581,Hotel Transylvania 3: Summer Vacation,PG,80000000,528600000,2018-06-13,Animation,97,6.3,67223
581,582,Spider-Man: Into the Spider-Verse,PG,90000000,375500000,2018-12-01,Animation,117,8.4,461884
582,583,Deadpool 2,R,110000000,785000000,2018-05-10,Comedy,119,7.7,536708
583,584,Venom,PG-13,116000000,856100000,2018-10-01,Action,112,6.7,448703
584,585,Mary Poppins Returns,PG,130000000,349500000,2018-11-29,Family,130,6.7,84961
585,586,Aquaman,PG-13,160000000,1148000000,2018-11-26,Action,143,6.9,428785
586,587,Jurassic World: Fallen Kingdom,PG-13,170000000,1309000000,2018-05-21,Action,128,6.2,290150
587,588,Ralph Breaks the Internet,PG,175000000,529300000,2018-11-05,Animation,112,7,149452
588,589,Mission: Impossible - Fallout,PG-13,178000000,791100000,2018-07-12,Action,147,7.7,314675
589,590,Ant-Man and the Wasp,PG-13,195000000,622700000,2018-06-25,Action,118,7,363426
590,591,Black Panther,PG-13,200000000,1347000000,2018-01-29,Action,134,7.3,700478
591,592,Incredibles 2,PG,200000000,1242000000,2018-06-05,Animation,118,7.6,277071
592,593,Fantanstic Beasts: The Crimes of Grindelwald,PG-13,200000000,653800000,2018-11-08,Fantasy,134,6.5,248930
593,594,Solo: A Star Wars Story,PG-13,275000000,392900000,2018-05-10,Science Fiction,135,6.9,321813
594,595,Avengers: Infinity War,PG-13,400000000,2048000000,2018-04-23,Action,149,8.4,968911
595,596,Glass,PG-13,20000000,247000000,2019-01-12,Thriller,129,6.6,229483
596,597,Us,R,20000000,255100000,2019-03-08,Horror,116,6.8,266351
